TagName,Count
"javascript","1831843"
"java","1562132"
"c#","1323912"
"php","1292263"
"android","1203296"
"python","1198023"
"jquery","957874"
"html","831890"
"c++","623392"
"ios","602379"
"css","591753"
"mysql","564795"
"sql","497254"
"asp.net","347281"
"ruby-on-rails","307604"
"c","305991"
"arrays","299068"
"r","295837"
"objective-c","287850"
".net","284743"
"node.js","280983"
"json","265581"
"sql-server","263134"
"angularjs","258448"
"swift","234966"
"iphone","219897"
"regex","209677"
"ruby","205547"
"django","201274"
"ajax","200476"
"excel","198178"
"xml","184408"
"asp.net-mvc","181645"
"linux","177217"
"angular","172495"
"python-3.x","168661"
"database","157214"
"spring","153163"
"wordpress","150975"
"wpf","150299"
"vba","147036"
"reactjs","145701"
"string","140782"
"xcode","133120"
"windows","130966"
"vb.net","124897"
"html5","120152"
"laravel","118960"
"eclipse","117077"
"multithreading","116284"
"mongodb","115438"
"bash","113316"
"git","111873"
"oracle","111297"
"pandas","109821"
"postgresql","101585"
"twitter-bootstrap","95439"
"forms","94623"
"image","93923"
"macos","92499"
"algorithm","92136"
"python-2.7","90864"
"scala","90160"
"visual-studio","88577"
"list","88229"
"winforms","85277"
"typescript","85081"
"apache","84812"
"matlab","84202"
"facebook","83596"
"performance","83170"
"excel-vba","82469"
"entity-framework","79982"
"css3","79653"
"hibernate","78167"
"sqlite","77487"
"amazon-web-services","76973"
"function","74904"
"linq","74678"
"swing","73282"
"firebase","72832"
"azure","72619"
"rest","71422"
"qt","71231"
"shell","71134"
"powershell","69748"
"api","68467"
"maven","68187"
".htaccess","65973"
"file","64567"
"unit-testing","63985"
"loops","63680"
"codeigniter","63639"
"selenium","63393"
"perl","62732"
"symfony","62472"
"csv","62322"
"numpy","61642"
"spring-boot","61177"
"google-maps","60492"
"uitableview","60029"
"class","59786"
"web-services","59147"
"cordova","58878"
"docker","58835"
"google-chrome","58476"
"tsql","57934"
"sorting","57203"
"validation","56546"
"date","56438"
"ruby-on-rails-3","56011"
"sockets","55941"
"android-studio","55623"
"react-native","53974"
"express","53755"
"http","53362"
"xaml","53225"
"sql-server-2008","53175"
"android-layout","52465"
"spring-mvc","51427"
"apache-spark","51399"
"opencv","51059"
"dataframe","50972"
"email","50413"
"jsp","49743"
"wcf","49497"
"datetime","49061"
"oop","48445"
"listview","48435"
"c++11","48003"
"security","47690"
"dictionary","47239"
"parsing","47116"
"visual-studio-2010","46678"
"user-interface","45811"
"object","45550"
"ubuntu","45241"
"batch-file","45141"
"for-loop","44690"
"delphi","44063"
"tensorflow","43779"
"pointers","43541"
