lemma,poscode,surface
firebase-job-dispatcher,0,
microsoft-r,0,revolution-r
recharts,0,
forecast,0,
vimdiff,0,
bstr,0,
invariants,0,
magic-numbers,0,
html-sanitizing,0,
m4,0,
recompile,0,
htmltidy,0,
linked-tables,0,
color-mapping,0,
objectdisposedexception,0,
non-english,0,
shadowing,0,
run-length-encoding,0,
two-columns,0,
subtype,0,
drawrectangle,0,
outbound,0,
dev-to-production,0,
differentiation,0,
android-configchanges,0,
text-based,0,
cocos3d,0,
blank-line,0,
object-slicing,0,
appwidgetprovider,0,
opendj,0,
jquery-on,0,
xwpf,0,
screen-recording,0,
fuelux,0,
philips-hue,0,
linkedin-jsapi,0,
saiku,0,
icheck,0,
cassandra-cli,0,
mixture-model,0,
grails-2.3,0,
symfony-2.4,0,symfony2.4
sqoop2,0,
android-switch,0,
pysftp,0,
background-fetch,0,
asana-api,0,
borrowing,0,
alamofireimage,0,
bluetooth-gatt,0,
pos,0,
server-configuration,0,
rapidxml,0,
autocompleteextender,0,
blogengine.net,0,
fastercsv,0,
background-music,0,
quit,0,exit
gnu-coreutils,0,
autocorrect,0,
sunos,0,
identify,0,
pyscripter,0,
mysql-error-1045,0,
avalonedit,0,
xml.etree,0,
alchemyapi,0,
psych,0,
mapping-by-code,0,
qt4.7,0,
capifony,0,
tethering,0,
blockingcollection,0,
spyne,0,
bsxfun,0,
nskeyedunarchiver,0,
todataurl,0,
webcam-capture,0,
receipt-validation,0,
gulp-sourcemaps,0,
android-googleapiclient,0,
bootstrapvalidator,0,
developer-console,0,
tmap,0,
.net-4.6.1,0,
cythonize,0,
fasttext,0,
ballerina,0,ballerinalang
tns,0,
wireframe,0,
mod-deflate,0,
wmv,0,
bde,0,
rampart,0,
fdt,0,
bbpress,0,
templatetags,0,templatetag
channelfactory,0,
obsolete,0,
database-metadata,0,
freeimage,0,
textmatebundles,0,
malware-detection,0,
auctex,0,
stringification,0,
xbrl,0,
optional-arguments,0,
redirectstandardoutput,0,
jquery-blockui,0,
home-directory,0,
roundcube,0,
unicode-normalization,0,
event-store,0,
client-object-model,0,
fb.ui,0,
preorder,0,
shadow-mapping,0,
public-method,0,
text-segmentation,0,
hcatalog,0,
codekit,0,
swig-template,0,
xcode-bots,0,
android-togglebutton,0,
bootsfaces,0,
symfony-security,0,
wso2greg,0,
r.net,0,rdotnet
dexie,0,
play-json,0,
realm-migration,0,
bootstrap-carousel,0,
zoneddatetime,0,
vtigercrm,0,
firebase-test-lab,0,
api-ai,0,
aws-load-balancer,0,
postgresql-11,0,
inequality,0,
hpricot,0,
email-address,0,
basecamp,0,
stream-processing,0,
lvm,0,
referrals,0,
custom-object,0,
phpinfo,0,
usps,0,
jpeg2000,0,
jcreator,0,
getselection,0,
graphml,0,
geos,0,
gitk,0,
django-wsgi,0,
isql,0,
directx-10,0,
activity-indicator,0,
parity,0,
fading,0,
phpquery,0,
dih,0,
premake,0,
skia,0,
pycairo,0,
catiledlayer,0,
parseexception,0,
catransition,0,
http-status-code-504,0,
qregexp,0,
callable-statement,0,
stacked-area-chart,0,
jqxhr,0,
minmax,0,
windowlistener,0,
shareactionprovider,0,
ecslidingviewcontroller,0,
active-form,0,
jquery-inputmask,0,
ng-dialog,0,
setcontentview,0,
ssrs-2014,0,
circle-pack,0,
amazon-fire-tv,0,fire-tv
symfony-2.6,0,
featherlight.js,0,
elasticsearch-query,0,
gear-vr,0,
google-assist-api,0,
swift2.1,0,swift2
gitlab-api,0,
docker-for-mac,0,
chainer,0,
t-test,0,
external-process,0,
waterfall,0,
energy,0,
combinators,0,
nss,0,
pst,0,
certificate-authority,0,
owner,0,
live-templates,0,
variable-variables,0,
dllregistration,0,
image-preloader,0,
bcd,0,
disparity-mapping,0,
pic18,0,
taylor-series,0,
app.xaml,0,
freetype2,0,
clientid,0,
3nf,0,
code-structure,0,
inventory-management,0,
powerdesigner,0,
jmstemplate,0,
sahi,0,
mkpinannotationview,0,
jain-sip,0,
pep,0,
mpmediapickercontroller,0,
django-pagination,0,
coin-change,0,
zend-translate,0,
todo,0,todos
geonames,0,
bulkloader,0,
generic-handler,0,
maven-javadoc-plugin,0,
empty-list,0,
python-ldap,0,
floyd-warshall,0,
bnd,0,
revealing-module-pattern,0,
ruby-c-extension,0,ruby-c-api
aviary,0,
mobiscroll,0,
orika,0,
mkpolyline,0,
ff,0,
double-click-advertising,0,
ansi-c,0,
modbus-tcp,0,
cross-entropy,0,
azure-template,0,
react-transition-group,0,
debian-stretch,0,
kibana-6,0,
.net-core-2.1,0,
vaadin-flow,0,
trust,0,
dynamic-languages,0,
base-conversion,0,
hci,0,
hbm,0,
recursive-descent,0,
game-theory,0,
printdialog,0,
routed-commands,0,routedcommand
configurable,0,
file-manipulation,0,
jsfl,0,
iplimage,0,
j-security-check,0,
dynamic-class-loaders,0,
avrdude,0,
html.beginform,0,
fsevents,0,
glow,0,
unordered,0,
core-video,0,
application.cfc,0,
qmap,0,
multivariate-testing,0,
jquery-pagination,0,
360-degrees,0,
mesa,0,
juce,0,
luarocks,0,
mtp,0,
skeleton-css-boilerplate,0,
vqmod,0,
uicollectionreusableview,0,
flask-mongoengine,0,
fotorama,0,
oracle-pro-c,0,
android-kernel,0,
android-shape,0,
fail2ban,0,
epplus-4,0,
uialertaction,0,
spark-jobserver,0,
python-appium,0,
moya,0,
hortonworks-sandbox,0,
account-kit,0,facebook-account-kit
aws-sdk-nodejs,0,
angularjs-1.6,0,
java-date,0,
nativescript-plugin,0,
shinyapps,0,shinyapps.io
natural-language-processing,0,nlp
microsoft-graph-sdks,0,
network-monitoring,0,
paradox,0,
llblgenpro,0,
aquamacs,0,
castor,0,
rpath,0,
asp.net-profiles,0,
document-library,0,
flvplayback,0,
relaxng,0,
imagettftext,0,
varchar2,0,
radix,0,
session-scope,0,
fat,0,
oledbdatareader,0,
asp.net-mvc-views,0,
django-piston,0,
data-stream,0,
bonecp,0,
fparsec,0,
cng,0,
nio2,0,
oracle-fusion-middleware,0,
parallel-foreach,0,
google-plugin-eclipse,0,
traitsui,0,
cartesian-coordinates,0,
giraph,0,
css-content,0,
iperf,0,
mlogit,0,
ng-pattern,0,
angular-moment,0,
azure-traffic-manager,0,
broccolijs,0,
broom,0,
mddialog,0,
swift2.2,0,swift2
ibm-cloud-private,0,
s4sdk,0,
sap-cloud-platform,0,hana-cloud-platform
qos,0,
ocsp,0,
commerce,0,
irrlicht,0,
spiral,0,
sealed,0,
authenticode,0,
dbms-scheduler,0,
cs193p,0,
x-cart,0,
data-compression,0,compression
stencil-buffer,0,
mod-mono,0,
uimanager,0,
zenity,0,
resource-leak,0,
canonicalization,0,
uidevice,0,
prims-algorithm,0,
wcf-endpoint,0,
jquery-traversing,0,
querystringparameter,0,
postdelayed,0,
django-debug-toolbar,0,
phpfox,0,
twisted.internet,0,
evil-mode,0,
xv6,0,
stdatomic,0,
google-api-js-client,0,
xively,0,
symfony-routing,0,
qtmultimedia,0,
falconframework,0,
minimongo,0,
oracle-maf,0,
twig-extension,0,
solr5,0,
mongodb-csharp-2.0,0,
eventsource,0,
uitableviewsectionheader,0,
datacontractjsonserializer,0,
hyperledger-fabric-ca,0,
turkish,0,
nativelibrary,0,
directsound,0,
data-entry,0,
jdk1.5,0,
icriteria,0,
byref,0,
isnumeric,0,
recorder,0,
quotations,0,
sizzle,0,
entitydatasource,0,
errordocument,0,
boost-function,0,
data-loss,0,
searchable,0,
update-attributes,0,update-attribute
saaj,0,
joomla-module,0,
pcf,0,
swipeview,0,
credential-providers,0,
vlfeat,0,
social-framework,0,
easynetq,0,
jsonmodel,0,
sql-drop,0,
weibull,0,
google-trends,0,
pointer-to-pointer,0,
game-center-leaderboard,0,
audiocontext,0,
uitableviewrowaction,0,
mediatr,0,
javafx-3d,0,
fastq,0,
cockroachdb,0,
gameplay-kit,0,
spring-cloud-task,0,
rx-cocoa,0,
imx6,0,
angular2-highcharts,0,
scala-gatling,0,
aws-sam-cli,0,aws-sam-local
envoyproxy,0,envoy
lit-element,0,
mat-table,0,
repair,0,
rpn,0,
abc,0,
multiple-definition-error,0,multiple-definitions
abbreviation,0,
xll,0,excel-xll
phrase,0,phrases
pdfa,0,
lexical,0,
sequence-points,0,sequence-point
portable-applications,0,
binary-compatibility,0,
j2mepolish,0,
xmlunit,0,
nsapplication,0,
vmware-fusion,0,
forex,0,
muenchian-grouping,0,
lzw,0,
screensharing,0,
trailing,0,
drupal-themes,0,
dopostback,0,
nested-table,0,
array-unique,0,
sql-agent,0,
xuggle,0,
pre-build-event,0,
bellman-ford,0,
maven-resources-plugin,0,
disruptor-pattern,0,
c++-amp,0,
java-compiler-api,0,
dynamicform,0,
apache-commons-io,0,
appfabric-cache,0,
apiary.io,0,
joomla3.1,0,
flipview,0,
onscrolllistener,0,
tedious,0,
weebly,0,
riot.js,0,
rstan,0,
exceljs,0,
protoc,0,
lmfit,0,
google-identity,0,
oracle-jet,0,
intellij-15,0,intellij-idea-15
prism-6,0,
replaykit,0,
raku,0,
microformats,0,
aspnet-compiler,0,
image-comparison,0,
winlogon,0,
hotdeploy,0,
high-resolution,0,
non-greedy,0,ungreedy
object-model,0,
bundles,0,
horizontallist,0,
single-threaded,0,
integer-promotion,0,integral-promotion
printstream,0,
northwind,0,
activity-diagram,0,
ready,0,
som,0,
symbol-table,0,symbol-tables
checkedtextview,0,
lcs,0,
custom-model-binder,0,
equals-operator,0,
php-java-bridge,0,
socialauth,0,
form-fields,0,formfield
nintex-workflow,0,
android-framework,0,android
pgpool,0,
raw-data,0,
ocean,0,
google-authenticator,0,
pcntl,0,
in-house-distribution,0,
gii,0,
wificonfiguration,0,
doctrine-extensions,0,
dart-mirrors,0,
drupal-blocks,0,
joomla3.2,0,
kendo-multiselect,0,
kendo-datepicker,0,
bigcartel,0,
pdftron,0,
drone.io,0,
spagobi,0,
android-runonuithread,0,
mimekit,0,
cartodb,0,
grav,0,
snapkit,0,
rhandsontable,0,
react-animated,0,
rust-tokio,0,
amazon-elastic-transcoder,0,
google-drive-team-drive,0,
farseer,0,
client-side-scripting,0,
include-guards,0,
readprocessmemory,0,
seh,0,
system.in,0,
code-folding,0,
cider,0,
luasocket,0,
satellite,0,
activeperl,0,
log4cxx,0,
null-terminated,0,
james,0,
ebcdic,0,
webhttpbinding,0,
truthtable,0,
table-variable,0,table-variables
file-attributes,0,
out-of-browser,0,
8-bit,0,8bit
javascript-intellisense,0,
elapsedtime,0,
attr-accessor,0,
format-string,0,
pretty-urls,0,
cfwheels,0,
django-login,0,
dedicated-server,0,
effective-java,0,
openocd,0,
copy-elision,0,
sts-securitytokenservice,0,
x11-forwarding,0,
heightmap,0,
drools-planner,0,optaplanner
viber,0,
mysql-slow-query-log,0,
chicken-scheme,0,chicken
companion-object,0,
embedded-tomcat-7,0,
sql-limit,0,
plivo,0,
fiddlercore,0,
usb-debugging,0,
ucwa,0,
videogular,0,
kendo-window,0,
steroids,0,
vcenter,0,
dill,0,
kie-workbench,0,
hypothesis-test,0,
apple-developer,0,
minidump,0,
tiling,0,
was,0,
smartclient,0,
binary-operators,0,
lead,0,
mod-perl2,0,
sigkill,0,
vacuum,0,
servicehost,0,
poi-hssf,0,
contingency,0,
libpqxx,0,
frequency-distribution,0,
ceil,0,
autocompletebox,0,
pathname,0,
becomefirstresponder,0,
exuberant-ctags,0,
android-searchmanager,0,
enterprise-library-5,0,
ribbonx,0,
java-stored-procedures,0,
android-mediascanner,0,
sharepoint-clientobject,0,
stackview,0,
resignfirstresponder,0,
sessionstorage,0,session-storage
supersized,0,
xtk,0,
sequencefile,0,
yandex,0,
hmisc,0,
ipdb,0,
cvxopt,0,
gracenote,0,
mailboxer,0,
py4j,0,
impresspages,0,
cmder,0,
cucumber-serenity,0,
turtle-rdf,0,
google-cloud-endpoints-v2,0,
angular-library,0,
popper.js,0,
angular-material-5,0,
ngen,0,
distributed-cache,0,
project-server,0,
onmousemove,0,
gdlib,0,
qvariant,0,
libs,0,
gtk2hs,0,
jflex,0,
qtconcurrent,0,
string-substitution,0,
binary-serialization,0,
custom-binding,0,
server.xml,0,
tarfile,0,
featured,0,
biztalk-mapper,0,
bada,0,
alternate,0,
zend-gdata,0,
try-finally,0,
exp,0,
jco,0,
.net-cf-3.5,0,
pydot,0,
stagefright,0,
hippocms,0,
levelplot,0,
finagle,0,
dotless,0,
node-serialport,0,
alwayson,0,
qcustomplot,0,
canny-operator,0,
azure-management-api,0,
phphotolibrary,0,
pytest-django,0,
github-desktop,0,
android-textwatcher,0,
googlesigninapi,0,
ava,0,
ready-api,0,
kube-dns,0,
dcast,0,
monorepo,0,
tidytext,0,
xcode8.2,0,
open-liberty,0,
twilio-programmable-chat,0,
ml.net,0,
docker-desktop,0,
cappuccino,0,
scsi,0,
remoteobject,0,
app-code,0,
vocabulary,0,
c++-faq,0,
citations,0,
protected-mode,0,
midl,0,
pgm,0,
http-1.1,0,
chained,0,
livesearch,0,
listboxitems,0,listboxitem
hresult,0,
validationrules,0,
boost-phoenix,0,
c++builder-6,0,
mpmediaquery,0,
pinning,0,
vbe,0,
probability-theory,0,
radwindow,0,
django-grappelli,0,
leap-year,0,
sigterm,0,
lync-2010,0,
regional-settings,0,
do.call,0,
hashbang,0,
sdl-ttf,0,
custom-error-handling,0,
s3fs,0,
cgrectmake,0,
kohana-3.2,0,
nvda,0,
recurly,0,
jdom-2,0,
burp,0,
php-password-hash,0,
live-sdk,0,
discourse,0,
elki,0,
.when,0,
passkit,0,
kramdown,0,
spoon,0,
azure-monitoring,0,
fitnesse-slim,0,
directadmin,0,
fiware-wirecloud,0,
payu,0,
jquery-bootgrid,0,
android-touch-event,0,
laravel-valet,0,
onsaveinstancestate,0,
yoast,0,
jfoenix,0,
teradata-sql-assistant,0,
bixby,0,
xcode10.2,0,
procmail,0,
plasticscm,0,
row-height,0,
city,0,
information-theory,0,
x3d,0,
struts-validation,0,
most-vexing-parse,0,
tstringgrid,0,
x87,0,8087cw
command-line-parsing,0,
axwindowsmediaplayer,0,
posting,0,
localserver,0,
gyp,0,
armv6,0,
thrift-protocol,0,
visual-glitch,0,
boost-preprocessor,0,
excel-2011,0,
jasig,0,
texturepacker,0,
itemlistener,0,
kundera,0,
icefaces-3,0,
tridion-content-delivery,0,
mvcjqgrid,0,
mp4parser,0,
packery,0,
forkjoinpool,0,
payum,0,
emberfire,0,
chronicle,0,
symfony-2.5,0,
webcrypto-api,0,
julia-jump,0,
jython-2.7,0,
cosmicmind,0,
readxl,0,
mongodb-aggregation,0,aggregation-framework
kubelet,0,
google-cloud-python,0,
windows-container,0,
angular1.6,0,
opencv-python,0,
angular-observable,0,
express-validator,0,
generate,0,
cubes,0,
hud,0,
wow64,0,
tstringlist,0,
morse-code,0,
tray,0,
reflow,0,
ar,0,
svnignore,0,
comobject,0,com-object
unsubscribe,0,
parse-tree,0,
system.net.webexception,0,
timetable,0,
twitterizer,0,
settings.settings,0,
binarywriter,0,
urlparse,0,
widechar,0,
input-type-file,0,
openrasta,0,
create-directory,0,createfolder
eclipse-3.6,0,eclipse-helios
der,0,
gmail-contextual-gadgets,0,
mongohq,0,
cxfrs,0,
infiniband,0,
entity-relationship-model,0,
skype4com,0,
google-swiffy,0,
ekeventkit,0,
auto-renewing,0,
pgbouncer,0,
puts,0,
visa,0,
jnienv,0,
revmob,0,
kohana-3.3,0,
qmediaplayer,0,
backgrid,0,
google-now,0,
pointer-events,0,
firebasesimplelogin,0,
boxapiv2,0,
enhanced-ecommerce,0,
quickblox-android,0,
code-push,0,
kubernetes-health-check,0,
botkit,0,
aem-6,0,
android-push-notification,0,
wxpython-phoenix,0,
ionic-v1,0,
amcharts4,0,
static-block,0,
griffon,0,
jdb,0,
jvm-languages,0,
spelling,0,
int32,0,
webresource.axd,0,
dig,0,
tasklist,0,
workflowservice,0,workflow-services
uint32,0,
text-search,0,
windowsformshost,0,windowsformhost
datejs,0,
content-negotiation,0,
appcmd,0,
responsetext,0,
pdf-form,0,
turbogears2,0,
start-process,0,
source-code-protection,0,
jtextcomponent,0,
nssplitview,0,
datapump,0,
inf,0,
uint64,0,
syntaxhighlighter,0,
nsinvocation,0,
finite-element-analysis,0,
mysql-error-1005,0,
unique-id,0,
type-punning,0,
git-status,0,
http-status-code-304,0,
mouse-position,0,
websharper,0,
lua-api,0,
left-recursion,0,
remote-validation,0,
cgimageref,0,
zsh-completion,0,
proto,0,
ganglia,0,
valueinjecter,0,valueinjector
system.net.httpwebrequest,0,
phpredis,0,
ane,0,
pathlib,0,
sleep-mode,0,
pairing,0,
pushkit,0,
azure-resource-group,0,
cpprest-sdk,0,
google-apps-script-addon,0,
trunk,0,
aspell,0,
mailitem,0,
sales,0,
execv,0,
subtree,0,
for-xml,0,forxml
release-mode,0,
speex,0,
encodeuricomponent,0,
debuggervisualizer,0,
scenegraph,0,
braces,0,
clos,0,
purge,0,
orgchart,0,
cyclic,0,
stereoscopy,0,
ruby-debug,0,
malformed,0,
xamlparseexception,0,
buildconfiguration,0,
uint,0,
radeditor,0,
multiscreen,0,
openvms,0,
exact-match,0,
build-dependencies,0,
android-titlebar,0,
aero-glass,0,glass
interception,0,
hole-punching,0,
code-composer,0,
pugixml,0,
iterate,0,loops
before-save,0,
tsqlt,0,
codefluent,0,
infusionsoft,0,
dart-js-interop,0,
python-cffi,0,
nodeclipse,0,
dexguard,0,
kendo-template,0,
susy-sass,0,
globalplatform,0,
ember-qunit,0,
ng-tags-input,0,
android-runtime,0,
satellizer,0,
directx-12,0,
intune,0,
microsoft-edge-extension,0,
node-streams,0,
android-doze,0,
accelerated-mobile-page,0,amp-html
aws-vpc,0,amazon-vpc
oozie-workflow,0,
jfrog-cli,0,
amazon-neptune,0,
wse,0,
medium-trust,0,
lost-focus,0,lostfocus
cancel-button,0,
uicomponents,0,
nsinputstream,0,
mhtml,0,mht
aliasing,0,
dollar-sign,0,
pyro,0,
selectlistitem,0,
direct3d9,0,
listfield,0,
chdir,0,
code-design,0,
lnk2001,0,
synchronizationcontext,0,
kmdf,0,
loess,0,
rhapsody,0,
fflush,0,
django-fixtures,0,
formhelper,0,form-helpers
qfilesystemmodel,0,
qabstracttablemodel,0,
mercurial-hook,0,
subgrid,0,
cocoaasyncsocket,0,
documentlistener,0,
maven-central,0,
qsqltablemodel,0,
cloudify,0,
kony,0,
jqlite,0,
periodic-task,0,
facebook-instant-articles,0,
360-virtual-reality,0,
theano-cuda,0,
fullcalendar-3,0,
gutenberg-blocks,0,
primeng-turbotable,0,
jts,0,
balance,0,
mmc,0,
simulated-annealing,0,
tchar,0,
server-side-scripting,0,
backcolor,0,
exslt,0,
wchar,0,
windows-security,0,
cellular-automata,0,
object-persistence,0,
load-time,0,
tail-call-optimization,0,
principal,0,
bins,0,
persistent-connection,0,
jmap,0,
strikethrough,0,
soapserver,0,
custom-tags,0,
junit3,0,
python-mode,0,
pipelining,0,
horizontal-scaling,0,
nsmutabledata,0,
reuseidentifier,0,
access-point,0,
dotfiles,0,
google-url-shortener,0,
cocoalibspotify-2.0,0,
mgwt,0,
ewsjavaapi,0,
struts-tags,0,
lync-client-sdk,0,
socialshare,0,
animatewithduration,0,
sony-camera-api,0,
sim900,0,
nedb,0,
mtm,0,microsoft-test-manager
